x_km,target_y_km,surface_height_m,upper_ice_layer_depth_m,briny_warm_ice_lens_depth_m,briny_warm_ice_lens_strength_0to1,ice_ocean_boundary_depth_m,ice_ocean_boundary_elevation_m,upper_ice_layer_delay_us,briny_warm_ice_lens_delay_us,ice_ocean_boundary_delay_us,upper_ice_layer_echo_db,briny_warm_ice_lens_echo_db,ice_ocean_boundary_echo_db
-10.0,25.0,471.51448488312155,1101.2108186217465,4525.035618434776,0.35654815256605005,15410.508745213121,-14938.994260329999,13.07674829596086,53.734263060172786,182.99796965859198,-11.982179473519144,-28.936130740088146,-33.81315586348416
-9.5,25.0,470.5815738170562,1116.8978309704696,4538.011734504316,0.3320291288441442,15439.79021897657,-14969.208645159513,13.26302971322538,53.888352904579634,183.3456836981422,-12.010416095746844,-29.180158962510472,-33.85492049411379
-9.0,25.0,480.618285675218,1133.9117338896804,4551.476196309719,0.30842467967697906,15467.420577548042,-14986.802291872824,13.465067799161453,54.04824179687202,183.67379093996766,-12.041041121001424,-29.416835036264683,-33.94601443164464
-8.5,25.0,460.6206107904381,1150.4579025882574,4565.405845898684,0.28578360200652886,15499.09132522038,-15038.470714429943,13.661551596518805,54.21365473910393,184.0498773247476,-12.070824224658864,-29.64567810455887,-33.9120576981331
-8.0,25.0,475.6659223963138,1168.969562791454,4579.779007029312,0.2641442604041583,15525.64240190194,-15049.976479505625,13.881375373150906,54.384334328465165,184.36516822171325,-12.104145213024617,-29.86630386901534,-34.03223964738986
-7.5,25.0,470.2640951439132,1187.0441427572596,4594.57540533313,0.24353499597302528,15554.793139416372,-15084.529044272458,14.096008873631652,54.56003980922677,184.71132978376087,-12.136679456963067,-30.07842076584241,-34.06659356143212
-7.0,25.0,442.95708145426426,1204.4298221034696,4609.776067611265,0.22397462833383863,15586.69843418237,-15143.741352728106,14.302461760690298,54.74054587689495,185.09020138755204,-12.167973679786245,-30.281825266695726,-34.104549471394655
-6.5,25.0,455.8100478474453,1223.4079584474887,4625.363203475164,0.20547303719226348,15612.620101689698,-15156.810053842251,14.527824886352077,54.925641272708674,185.39801812497672,-12.20213432520548,-30.476396431524925,-34.12166017024916
-6.0,25.0,447.75344272198197,1241.3297195139276,4641.320072576792,0.188031809837609,15641.059100480645,-15193.305657758663,14.740643680467713,55.11512720701393,185.7357278738183,-12.234393495125069,-30.662089842099746,-34.16485226675045
-5.5,25.0,437.23203216912464,1258.7251117027915,4657.630840636252,0.17164494106807282,15669.38478023053,-15232.152748061406,14.94721190638471,55.3088156496087,186.0720919724428,-12.265705201065025,-30.838931043532597,-34.255256433064524
-5.0,25.0,426.4950993655156,1275.4777201178747,4674.280427373219,0.15629957245233433,15697.234366267417,-15270.739266901903,15.146147150972137,55.50652752394678,186.4028025145049,-12.295859896212175,-31.007008617200782,-34.34865959105157
-4.5,25.0,423.30568039506915,1291.6962207555832,4691.25434928991,0.14197675849033212,15723.473778049673,-15300.168097654603,15.338739928840626,55.70809084020413,186.71439242763347,-12.32505319736005,-31.16646700230885,-34.41093649774531
-4.0,25.0,426.01474675634427,1307.1204466457566,4708.538560045645,0.1286522480932888,15748.287353885482,-15322.272607129138,15.521900787974104,55.91333879974558,187.00905070744747,-12.352816803962362,-31.31749917524256,-34.450741080923734
-3.5,25.0,404.9650488224043,1320.3805424870961,4726.1192909153915,0.11629727082714168,15775.78142161981,-15370.816372797404,15.679362858601541,56.12210790058899,187.33553951169284,-12.376684976476774,-31.46033928620343,-34.60024596244927
-3.0,25.0,420.1474189559781,1333.7060672736177,4743.982893546545,0.10487931851518159,15797.512523197043,-15377.365104241066,15.837601890218595,56.33423607016057,187.59359377406844,-12.400670921092512,-31.595255341747148,-34.57953786085016
-2.5,25.0,420.97624209783453,1344.9196633073145,4762.1156869290735,0.09436291403447819,15820.518953735622,-15399.542711637787,15.970762017548953,56.549560848083445,187.86679241710215,-12.420855393953167,-31.72254201016203,-34.63901954357903
-2.0,25.0,435.98300826713626,1355.0272017032964,4780.50381018409,0.08471036042594875,15840.763766829245,-15404.780758562109,16.090787841179562,56.76791763805932,188.10719717943041,-12.439048963065934,-31.842513614497825,-34.630103895599575
-1.5,25.0,431.10580672292525,1362.5514766017754,4799.133082464253,0.0758824647296312,15862.974345451357,-15431.868538728431,16.18013771614735,56.98913804420237,188.3709451750345,-12.452592657883196,-31.955497365868972,-34.72157797316708
-1.0,25.0,440.9944102420088,1368.786196916389,4817.988870955649,0.06783923221605759,15882.259787427232,-15441.265377185224,16.2541742828712,57.213048303577104,188.5999575187477,-12.463815154449499,-32.06182687777565,-34.739751212216554
-0.5,25.0,474.23278667183286,1374.0063177418226,4837.0559676836865,0.06054052787473558,15897.379848026414,-15423.14706135458,16.316162600597806,57.43946782328302,188.77950645100628,-12.473211371935282,-32.16183599095802,-34.653753183879964
0.0,25.0,480.44802858922253,1376.1534460093067,4856.318475563433,0.05394670310728157,15915.349780721908,-15434.901752132686,16.34165949496012,57.66820782731573,188.99289727752256,-12.477076202816752,-32.25585292804865,-34.69655356110656
0.5,25.0,482.7451811280071,1376.133881324049,4875.759703905036,0.04801918652444669,15932.899548678191,-15450.154367550183,16.341427166635444,57.89907011570627,189.20129869742874,-12.477040986383289,-32.34419478830904,-34.75752684154203
1.0,25.0,497.58165314697214,1374.6138282324846,4895.362073394291,0.04272103853545682,15947.69149082374,-15450.109837676768,16.32337671586003,58.13184593617653,189.37695126183766,-12.474304890818473,-32.427162385290615,-34.75659913805286
1.5,25.0,516.864115303311,1371.303092215229,4915.107030422499,0.03801747002116902,15960.826835798127,-15443.962720494816,16.284062117020355,58.36631496681647,189.53293193066696,-12.468345565987413,-32.505035424569975,-34.733214673793206
2.0,25.0,534.5064840723982,1366.016806901526,4934.974970543156,0.03387632578059738,15973.127659706997,-15438.621175634598,16.221288103816917,58.60224440714128,189.67900276049275,-12.458830252422747,-32.57806801495231,-34.804236106267616
2.5,25.0,549.7308148692482,1358.8064762795666,4954.945170789036,0.030268533619586264,15984.674832252707,-15434.94401738346,16.13566628002115,58.83938817436484,189.81612406947087,-12.44585165730322,-32.64648450484399,-34.869480637961885
3.0,25.0,536.8431041026677,1348.7496298570475,4974.995730593702,0.02716851990277489,15999.039471084721,-15462.196366982054,16.016242417583065,59.07748620184962,189.98670245754352,-12.427749333742685,-32.710475635943695,-34.80771823124738
3.5,25.0,562.9190196746022,1338.6555162950121,4995.103521127066,0.024554592113773612,16006.807001469824,-15443.887981795222,15.896376012268606,59.316263837472384,190.0789409626595,-12.409579929331022,-32.77019500900475,-34.92280341588608
4.0,25.0,561.6697690574489,1326.0176749484262,5015.244142973658,0.022409288468860672,16017.23599184729,-15455.566222789841,15.746303140209076,59.5554313410587,190.20278399057108,-12.386831814907168,-32.82575586113284,-34.92877395816056
4.5,25.0,568.643638224831,1312.4196434665605,5035.391892252217,0.020719693919225655,16025.329990466244,-15456.686352241413,15.584828123798081,59.79468348205709,190.29889926737192,-12.362355358239808,-32.87722816078096,-34.97453917079148
5.0,25.0,548.8146920903409,1296.6359029784055,5055.519735490639,0.019477720976596405,16035.975154282107,-15487.160462191765,15.397398071312132,60.033699241181964,190.4253093293104,-12.33394462536113,-32.92463603509378,-34.90296378965436
5.5,25.0,539.5212853164131,1280.3466130240581,5075.599293824479,0.018680352736261237,16043.928899152816,-15504.407613836402,15.20396467867663,60.27214162277272,190.5197591094304,-12.304623903443305,-32.96795555425771,-34.87946522445894
6.0,25.0,533.6920620973987,1263.4636930421118,5095.600837370856,0.018329844288099802,16050.16829622489,-15516.476234127493,15.003481999636955,60.50965758798458,190.5938512120962,-12.2742346474758,-33.00711290867464,-34.90018701282928
6.5,25.0,524.4263848132822,1245.9109802235196,5115.493290931494,0.018433877447186543,16055.64884283196,-15531.22245801868,14.795045609838956,60.74587812251141,190.65893205519458,-12.242639764402336,-33.04198302665201,-34.92679263499196
7.0,25.0,534.4078318791427,1228.797663151835,5135.244252485441,0.019005662456400754,16057.186598182137,-15522.778766302994,14.5918269925941,60.98041845618468,190.67719271819843,-12.211835793673302,-33.07238869236619,-34.94965623643872
7.5,25.0,503.48380224840304,1209.9183671428161,5154.820026228476,0.020063979077884698,16063.19705852591,-15559.713256277506,14.367637584226438,61.212878455312506,190.74856622427853,-12.17785306085707,-33.098100235510294,-34.980746756287324
8.0,25.0,497.2264534493298,1192.0925543866394,5174.185672185306,0.02163314836878428,16064.496639991332,-15567.270186542002,14.155958164953022,61.442843211818534,190.76399860055568,-12.145766597895951,-33.1188358746145,-34.97409675387438
8.5,25.0,479.6019721372586,1174.0683715077432,5193.305074644272,0.023742925505647647,16066.128989193123,-15586.527017055865,13.941923123921837,61.6698838558961,190.7833825543654,-12.113323068713937,-33.13426280480886,-35.023128005728964
9.0,25.0,481.22587957439987,1157.2501029632047,5212.141031823048,0.026428303360761397,16063.809243256452,-15582.583363682052,13.742208173058872,61.89355862077775,190.75583584558677,-12.083050185333768,-33.14399912703463,-34.9738695094552
9.5,25.0,478.27937371872196,1140.8522774257187,5230.6553692487305,0.029729216223055854,16060.87573901286,-15582.596365294137,13.547485933203692,62.11341418911039,190.72100082946645,-12.053534099366294,-33.147616718640215,-34.944190828191125
10.0,25.0,454.2022007690483,1124.3650898453716,5248.80907930769,0.03369013317421013,16059.653002376923,-15605.450801607874,13.351702529653107,62.3289873500933,190.70648097645554,-12.023857161721669,-33.14464514418595,-35.01732105932787
10.5,25.0,437.9381023255097,1109.0822191427294,5266.562489272529,0.03835953124954955,16056.097371463013,-15618.159269137503,13.170220246661831,62.53980699477838,190.66425827966734,-11.996347994456913,-33.13457669944461,-35.05288525987684
