satellite_position_km,nadir_surface_echo_m,offnadir_surface_echo_apparent_depth_m,offnadir_extra_two_way_delay_us
-45.800,0.000000,1903.901025,22.608600
-45.600,0.000000,1891.171436,22.457437
-45.400,0.000000,1878.496845,22.306928
-45.200,0.000000,1865.877263,22.157072
-45.000,0.000000,1853.312697,22.007869
-44.800,0.000000,1840.803159,21.859320
-44.600,0.000000,1828.348656,21.711424
-44.400,0.000000,1815.949198,21.564182
-44.200,0.000000,1803.604793,21.417594
-44.000,0.000000,1791.315452,21.271659
-43.800,0.000000,1779.081182,21.126379
-43.600,0.000000,1766.901992,20.981752
-43.400,0.000000,1754.777892,20.837780
-43.200,0.000000,1742.708891,20.694462
-43.000,0.000000,1730.694997,20.551798
-42.800,0.000000,1718.736218,20.409789
-42.600,0.000000,1706.832565,20.268435
-42.400,0.000000,1694.984044,20.127735
-42.200,0.000000,1683.190666,19.987690
-42.000,0.000000,1671.452438,19.848300
-41.800,0.000000,1659.769370,19.709565
-41.600,0.000000,1648.141469,19.571485
-41.400,0.000000,1636.568745,19.434060
-41.200,0.000000,1625.051205,19.297291
-41.000,0.000000,1613.588859,19.161177
-40.800,0.000000,1602.181714,19.025718
-40.600,0.000000,1590.829779,18.890916
-40.400,0.000000,1579.533062,18.756768
-40.200,0.000000,1568.291572,18.623277
-40.000,0.000000,1557.105316,18.490442
-39.800,0.000000,1545.974304,18.358262
-39.600,0.000000,1534.898542,18.226739
-39.400,0.000000,1523.878039,18.095872
-39.200,0.000000,1512.912804,17.965661
-39.000,0.000000,1502.002844,17.836106
-38.800,0.000000,1491.148167,17.707208
-38.600,0.000000,1480.348782,17.578967
-38.400,0.000000,1469.604695,17.451382
-38.200,0.000000,1458.915916,17.324454
-38.000,0.000000,1448.282452,17.198183
-37.800,0.000000,1437.704310,17.072569
-37.600,0.000000,1427.181499,16.947612
-37.400,0.000000,1416.714025,16.823312
-37.200,0.000000,1406.301898,16.699669
-37.000,0.000000,1395.945124,16.576683
-36.800,0.000000,1385.643711,16.454355
-36.600,0.000000,1375.397667,16.332685
-36.400,0.000000,1365.206999,16.211672
-36.200,0.000000,1355.071715,16.091316
-36.000,0.000000,1344.991822,15.971619
-35.800,0.000000,1334.967328,15.852579
-35.600,0.000000,1324.998239,15.734197
-35.400,0.000000,1315.084564,15.616474
