column,spacecraft_lon_deg,spacecraft_lat_deg,spacecraft_height_m,nadir_height_m,nadir_line,nadir_areoid_radius_m,nadir_ellipsoid_radius_m
4338,2.004179,76.088106,316242.106,-2961.0,2656.0,3379224.0,3377371.727
4339,1.997589,76.080492,316240.156,-2964.0,2657.0,3379225.0,3377372.984
4340,1.991049,76.072929,316238.217,-2968.0,2658.0,3379225.0,3377374.232
4341,1.984471,76.065315,316236.264,-2972.0,2658.0,3379227.0,3377375.49
4342,1.977944,76.057752,316234.323,-2976.0,2659.0,3379228.0,3377376.74
4343,1.971379,76.050138,316232.368,-2979.0,2660.0,3379229.0,3377377.999
4344,1.964864,76.042574,316230.425,-2982.0,2660.0,3379231.0,3377379.25
4345,1.958312,76.03496,316228.468,-2981.0,2660.0,3379232.0,3377380.511
4346,1.95181,76.027396,316226.522,-2980.0,2660.0,3379232.0,3377381.763
4347,1.94527,76.019781,316224.562,-2977.0,2659.0,3379234.0,3377383.025
4348,1.938781,76.012217,316222.614,-2971.0,2658.0,3379235.0,3377384.279
4349,1.932254,76.004601,316220.652,-2965.0,2657.0,3379236.0,3377385.542
4350,1.925777,75.997037,316218.702,-2962.0,2656.0,3379237.0,3377386.797
4351,1.919262,75.989421,316216.737,-2960.0,2656.0,3379238.0,3377388.061
4352,1.912798,75.981857,316214.785,-2960.0,2656.0,3379239.0,3377389.318
4353,1.906296,75.974241,316212.818,-2958.0,2655.0,3379240.0,3377390.584
4354,1.899844,75.966676,316210.863,-2951.0,2654.0,3379241.0,3377391.841
4355,1.893354,75.95906,316208.894,-2948.0,2654.0,3379242.0,3377393.108
4356,1.886914,75.951494,316206.937,-2953.0,2654.0,3379243.0,3377394.367
4357,1.880437,75.943878,316204.965,-2961.0,2656.0,3379244.0,3377395.635
4358,1.87401,75.936312,316203.006,-2965.0,2656.0,3379245.0,3377396.896
4359,1.867545,75.928695,316201.032,-2968.0,2657.0,3379245.0,3377398.165
4360,1.86113,75.921129,316199.07,-2970.0,2657.0,3379247.0,3377399.427
4361,1.854678,75.913512,316197.094,-2969.0,2657.0,3379249.0,3377400.698
4362,1.848275,75.905946,316195.13,-2970.0,2657.0,3379250.0,3377401.961
4363,1.841835,75.898328,316193.151,-2972.0,2658.0,3379250.0,3377403.233
4364,1.835444,75.890762,316191.185,-2971.0,2657.0,3379252.0,3377404.497
4365,1.829016,75.883144,316189.204,-2970.0,2657.0,3379252.0,3377405.771
