offset_line_below_nadir,approx_free_space_range_below_nadir_m,surface_along_track_offset_km,surface_doppler_hz,folded_doppler_hz,inside_center_doppler_band
226,3390.0,46.453067779541016,65.17323303222656,-22.361770629882812,False
227,3405.0,46.55629348754883,65.31499481201172,-22.220008850097656,False
228,3420.0,46.65929412841797,65.45642852783203,-22.078575134277344,False
229,3435.0,46.762062072753906,65.59751892089844,-21.937484741210938,False
230,3450.0,46.86460876464844,65.73828887939453,-21.796714782714844,False
231,3465.0,46.9669303894043,65.87873840332031,-21.656265258789062,False
232,3480.0,47.06903076171875,66.01885223388672,-21.516151428222656,False
233,3495.0,47.1709098815918,66.15864562988281,-21.376358032226562,False
234,3510.0,47.27256774902344,66.2981185913086,-21.23688507080078,False
235,3525.0,47.37400817871094,66.43727111816406,-21.097732543945312,False
236,3540.0,47.47523498535156,66.57611083984375,-20.958892822265625,False
237,3555.0,47.57632827758789,66.71475982666016,-20.82024383544922,False
238,3570.0,47.677120208740234,66.85295867919922,-20.682044982910156,False
239,3585.0,47.77779006958008,66.99097442626953,-20.544029235839844,False
240,3600.0,47.87815856933594,67.1285629272461,-20.40644073486328,False
241,3615.0,47.9784049987793,67.2659683227539,-20.26903533935547,False
242,3630.0,48.07835388183594,67.40293884277344,-20.132064819335938,False
243,3645.0,48.17818832397461,67.53973388671875,-19.995269775390625,False
244,3660.0,48.277809143066406,67.67622375488281,-19.858779907226562,False
245,3675.0,48.377140045166016,67.81228637695312,-19.72271728515625,False
246,3690.0,48.476356506347656,67.94817352294922,-19.586830139160156,False
247,3705.0,48.57536697387695,68.08377075195312,-19.45123291015625,False
248,3720.0,48.67417526245117,68.21907043457031,-19.315933227539062,False
249,3735.0,48.772789001464844,68.35408020019531,-19.180923461914062,False
250,3750.0,48.87120056152344,68.4887924194336,-19.04621124267578,False
251,3765.0,48.96940994262695,68.62320709228516,-18.91179656982422,False
252,3780.0,49.06742477416992,68.75733947753906,-18.777664184570312,False
253,3795.0,49.16524887084961,68.89120483398438,-18.643798828125,False
254,3810.0,49.26295852661133,69.0248794555664,-18.51012420654297,False
255,3825.0,49.360389709472656,69.15815734863281,-18.376846313476562,False
256,3840.0,49.45763397216797,69.2911605834961,-18.24384307861328,False
257,3855.0,49.55476379394531,69.42399597167969,-18.111007690429688,False
258,3870.0,49.65163040161133,69.55644226074219,-17.978561401367188,False
259,3885.0,49.748382568359375,69.68871307373047,-17.846290588378906,False
260,3900.0,49.844947814941406,69.82072448730469,-17.714279174804688,False
261,3915.0,49.941246032714844,69.95233917236328,-17.582664489746094,False
262,3930.0,50.03744125366211,70.08379364013672,-17.451210021972656,False
263,3945.0,50.133453369140625,70.21499633789062,-17.32000732421875,False
264,3960.0,50.22919464111328,70.34578704833984,-17.18921661376953,False
265,3975.0,50.3248405456543,70.4764404296875,-17.058563232421875,False
266,3990.0,50.42030334472656,70.60682678222656,-16.928176879882812,False
267,4005.0,50.515586853027344,70.73694610595703,-16.798057556152344,False
268,4020.0,50.610687255859375,70.8667984008789,-16.66820526123047,False
269,4035.0,50.70561218261719,70.99639892578125,-16.538604736328125,False
270,4050.0,50.80044174194336,71.12584686279297,-16.409156799316406,False
271,4065.0,50.89501190185547,71.25492095947266,-16.28008270263672,False
272,4080.0,50.98940658569336,71.38373565673828,-16.151268005371094,False
273,4095.0,51.0836296081543,71.51229858398438,-16.022705078125,False
274,4110.0,51.17775344848633,71.64071655273438,-15.894287109375,False
275,4125.0,51.271629333496094,71.76876068115234,-15.766242980957031,False
276,4140.0,51.365413665771484,71.89669036865234,-15.638313293457031,False
277,4155.0,51.458946228027344,72.02423858642578,-15.510765075683594,False
278,4170.0,51.55238723754883,72.15164184570312,-15.38336181640625,False
279,4185.0,51.64558029174805,72.27870178222656,-15.256301879882812,False
280,4200.0,51.738685607910156,72.40560913085938,-15.12939453125,False
281,4215.0,51.831626892089844,72.53227996826172,-15.002723693847656,False
282,4230.0,51.92439270019531,72.65870666503906,-14.876296997070312,False
283,4245.0,52.01692199707031,72.78478240966797,-14.750221252441406,False
284,4260.0,52.1093635559082,72.91072082519531,-14.624282836914062,False
