position_km,normal_altitude_km,ascending_altitude_km,descending_altitude_km,normal_radial_velocity_m_s,ascending_radial_velocity_m_s,descending_radial_velocity_m_s,normal_vhf_doppler_hz,ascending_vhf_doppler_hz,descending_vhf_doppler_hz,normal_hf_doppler_hz,ascending_hf_doppler_hz,descending_hf_doppler_hz
-20.400,400.000000,397.450000,402.550000,-203.339482,293.724773,-700.461086,81.335793,-117.489909,280.184434,12.212582,-17.641128,42.069735
-20.200,400.000000,397.475000,402.525000,-201.351034,295.751422,-698.509650,80.540414,-118.300569,279.403860,12.093155,-17.762848,41.952532
-20.000,400.000000,397.500000,402.500000,-199.362437,297.777845,-696.557707,79.744975,-119.111138,278.623083,11.973720,-17.884555,41.835298
-19.800,400.000000,397.525000,402.475000,-197.373691,299.804041,-694.605260,78.949476,-119.921616,277.842104,11.854276,-18.006249,41.718034
-19.600,400.000000,397.550000,402.450000,-195.384798,301.830008,-692.652308,78.153919,-120.732003,277.060923,11.734823,-18.127928,41.600739
-19.400,400.000000,397.575000,402.425000,-193.395760,303.855746,-690.698854,77.358304,-121.542298,276.279542,11.615361,-18.249594,41.483415
-19.200,400.000000,397.600000,402.400000,-191.406579,305.881252,-688.744898,76.562631,-122.352501,275.497959,11.495891,-18.371246,41.366060
-19.000,400.000000,397.625000,402.375000,-189.417254,307.906525,-686.790442,75.766902,-123.162610,274.716177,11.376412,-18.492884,41.248675
-18.800,400.000000,397.650000,402.350000,-187.427790,309.931563,-684.835488,74.971116,-123.972625,273.934195,11.256924,-18.614508,41.131261
-18.600,400.000000,397.675000,402.325000,-185.438185,311.956366,-682.880035,74.175274,-124.782546,273.152014,11.137429,-18.736118,41.013816
-18.400,400.000000,397.700000,402.300000,-183.448443,313.980931,-680.924086,73.379377,-125.592372,272.369635,11.017925,-18.857714,40.896342
-18.200,400.000000,397.725000,402.275000,-181.458564,316.005257,-678.967642,72.583426,-126.402103,271.587057,10.898412,-18.979295,40.778837
-18.000,400.000000,397.750000,402.250000,-179.468550,318.029342,-677.010704,71.787420,-127.211737,270.804282,10.778892,-19.100861,40.661304
-17.800,400.000000,397.775000,402.225000,-177.478403,320.053186,-675.053274,70.991361,-128.021274,270.021309,10.659364,-19.222414,40.543740
-17.600,400.000000,397.800000,402.200000,-175.488124,322.076786,-673.095352,70.195250,-128.830714,269.238141,10.539827,-19.343951,40.426147
-17.400,400.000000,397.825000,402.175000,-173.497714,324.100140,-671.136939,69.399086,-129.640056,268.454776,10.420283,-19.465474,40.308525
-17.200,400.000000,397.850000,402.150000,-171.507175,326.123249,-669.178038,68.602870,-130.449300,267.671215,10.300731,-19.586982,40.190873
-17.000,400.000000,397.875000,402.125000,-169.516508,328.146109,-667.218650,67.806603,-131.258444,266.887460,10.181172,-19.708475,40.073192
-16.800,400.000000,397.900000,402.100000,-167.525715,330.168720,-665.258775,67.010286,-132.067488,266.103510,10.061605,-19.829953,39.955482
-16.600,400.000000,397.925000,402.075000,-165.534797,332.191080,-663.298414,66.213919,-132.876432,265.319366,9.942030,-19.951416,39.837743
-16.400,400.000000,397.950000,402.050000,-163.543756,334.213187,-661.337570,65.417503,-133.685275,264.535028,9.822448,-20.072864,39.719974
-16.200,400.000000,397.975000,402.025000,-161.552594,336.235041,-659.376244,64.621038,-134.494016,263.750498,9.702858,-20.194297,39.602177
-16.000,400.000000,398.000000,402.000000,-159.561311,338.256638,-657.414436,63.824524,-135.302655,262.965774,9.583262,-20.315714,39.484351
-15.800,400.000000,398.025000,401.975000,-157.569909,340.277979,-655.452148,63.027964,-136.111192,262.180859,9.463658,-20.437116,39.366495
-15.600,400.000000,398.050000,401.950000,-155.578390,342.299062,-653.489382,62.231356,-136.919625,261.395753,9.344047,-20.558502,39.248612
-15.400,400.000000,398.075000,401.925000,-153.586755,344.319884,-651.526138,61.434702,-137.727954,260.610455,9.224430,-20.679873,39.130699
-15.200,400.000000,398.100000,401.900000,-151.595005,346.340445,-649.562418,60.638002,-138.536178,259.824967,9.104805,-20.801228,39.012758
-15.000,400.000000,398.125000,401.875000,-149.603143,348.360743,-647.598223,59.841257,-139.344297,259.039289,8.985174,-20.922567,38.894788
-14.800,400.000000,398.150000,401.850000,-147.611169,350.380776,-645.633555,59.044468,-140.152311,258.253422,8.865536,-21.043890,38.776790
-14.600,400.000000,398.175000,401.825000,-145.619085,352.400544,-643.668414,58.247634,-140.960218,257.467366,8.745891,-21.165198,38.658764
