band,frequency_mhz,wavelength_m,altitude_km,depth_km,look_angle_deg,doppler_edge_hz,min_prf_hz,max_prf_hz,two_way_us,listen_window_us,usable
VHF,60.0,4.996540966666666,25.0,1.75,27.226476717926264,842.3991216721979,2105.9978041804948,2484.0826767968624,187.5630907299209,402.5630907299209,True
VHF,60.0,4.996540966666666,25.0,2.0,28.913558294267833,890.2366195473865,2225.591548868466,2465.8977975049197,190.53181117718444,405.5318111771844,True
VHF,60.0,4.996540966666666,25.0,2.25,30.467110747228524,933.6062499905842,2334.0156249764605,2447.977230343834,193.500531624448,408.500531624448,True
VHF,60.0,4.996540966666666,25.0,2.5,31.908158351847188,973.2222363655223,2433.0555909138056,2430.315254335744,196.46925207171154,411.46925207171154,False
VHF,60.0,4.996540966666666,25.0,2.75,33.25270763008218,1009.6307280405026,2524.0768201012565,2412.9063124258355,199.4379725189751,414.43797251897513,False
VHF,60.0,4.996540966666666,25.0,3.0,34.51329603510775,1043.261076193707,2608.152690484267,2395.7450056529965,202.40669296623867,417.40669296623867,False
VHF,60.0,4.996540966666666,25.0,3.25,35.699972492390586,1074.4584290202508,2686.146072550627,2378.826087567472,205.3754134135022,420.3754134135022,False
VHF,60.0,4.996540966666666,25.0,3.5,36.82094604846018,1103.5053820456005,2758.7634551140013,2362.1444588833997,208.34413386076577,423.34413386076574,False
VHF,60.0,4.996540966666666,25.0,3.75,37.883030749634166,1130.6368882017077,2826.5922205042693,2345.695162354774,211.31285430802933,426.31285430802933,False
VHF,60.0,4.996540966666666,25.0,4.0,38.89196015191071,1156.0508421079196,2890.127105269799,2329.4733778640248,214.28157475529287,429.28157475529287,False
VHF,60.0,4.996540966666666,25.0,4.25,39.8526154768401,1179.9157898307894,2949.7894745769736,2313.4744177129846,217.25029520255643,432.25029520255646,False
VHF,60.0,4.996540966666666,25.0,4.5,40.76919484533132,1202.3766708450178,3005.9416771125443,2297.6937221065873,220.21901564982,435.21901564982,False
VHF,60.0,4.996540966666666,25.0,4.75,41.645341261634485,1223.5591778016494,3058.8979445041236,2282.126854820152,223.18773609708353,438.18773609708353,False
VHF,60.0,4.996540966666666,25.0,5.0,42.48424106411451,1243.5731233649383,3108.932808412346,2266.7694990416067,226.1564565443471,441.15645654434707,False
VHF,60.0,4.996540966666666,25.0,5.25,43.28870080893502,1262.5150794796803,3156.2876986992005,2251.6174533804683,229.12517699161063,444.1251769916106,False
VHF,60.0,4.996540966666666,25.0,5.5,44.061208124704166,1280.4704740496572,3201.176185124143,2236.6666280358213,232.0938974388742,447.0938974388742,False
VHF,60.0,4.996540966666666,25.0,5.75,44.8039804652154,1297.5152765634577,3243.7881914086443,2221.913041115963,235.06261788613776,450.0626178861378,False
VHF,60.0,4.996540966666666,25.0,6.0,45.51900459501648,1313.7173678820718,3284.2934197051795,2207.3528151027504,238.0313383334013,453.0313383334013,False
VHF,60.0,4.996540966666666,25.0,6.25,46.208068887065984,1329.1376642267346,3322.8441605668368,2192.9821734540565,241.00005878066486,456.00005878066486,False
VHF,60.0,4.996540966666666,25.0,6.5,46.872789979920796,1343.8310476420145,3359.5776191050363,2178.7974373380857,243.96877922792842,458.9687792279284,False
VHF,60.0,4.996540966666666,25.0,6.75,47.5146349614464,1357.847142471558,3394.617856178895,2164.7950224936117,246.937499675192,461.937499675192,False
VHF,60.0,4.996540966666666,25.0,7.0,48.13493996984494,1371.2309681146487,3428.077420286622,2150.971436210515,249.90622012245552,464.9062201224555,False
VHF,60.0,4.996540966666666,25.0,7.25,48.734925899568495,1384.0234914947255,3460.0587287368135,2137.3232744252687,252.87494056971906,467.87494056971906,False
VHF,60.0,4.996540966666666,25.0,7.5,49.31571174828547,1396.2620975650593,3490.655243912648,2123.8472189263084,255.84366101698265,470.84366101698265,False
VHF,60.0,4.996540966666666,25.0,7.75,49.87832602698499,1407.9809923196908,3519.952480799227,2110.5400346644587,258.8123814642462,473.8123814642462,False
VHF,60.0,4.996540966666666,25.0,8.0,50.423716568425576,1419.2115498330097,3548.028874582524,2097.3985671638457,261.7811019115097,476.7811019115097,False
VHF,60.0,4.996540966666666,25.0,8.25,50.95275900232059,1429.982612580961,3574.9565314524025,2084.419740028931,264.7498223587733,479.7498223587733,False
VHF,60.0,4.996540966666666,25.0,8.5,51.46626411379922,1440.320752530304,3600.80188132576,2071.6005525435435,267.71854280603685,482.71854280603685,False
VHF,60.0,4.996540966666666,25.0,8.75,51.96498426109228,1450.2504990960113,3625.6262477400282,2058.9380773579605,270.6872632533004,485.6872632533004,False
VHF,60.0,4.996540966666666,25.0,9.0,52.44961899636748,1459.7945389702606,3649.4863474256517,2046.4294582603018,273.655983700564,488.655983700564,False
VHF,60.0,4.996540966666666,25.0,9.25,52.92082000818031,1468.9738919524548,3672.434729881137,2034.071908028666,276.6247041478275,491.6247041478275,False
VHF,60.0,4.996540966666666,25.0,9.5,53.379195483626745,1477.8080662082473,3694.5201655206183,2021.862706360624,279.59342459509105,494.59342459509105,False
VHF,60.0,4.996540966666666,25.0,9.75,53.82531397186044,1486.3151958188264,3715.787989547066,2009.7991978768314,282.56214504235464,497.56214504235464,False
VHF,60.0,4.996540966666666,25.0,10.0,54.25970781731964,1494.5121630210115,3736.2804075525287,1997.87879019569,285.5308654896182,500.5308654896182,False
VHF,60.0,4.996540966666666,25.0,10.25,54.68287622014644,1502.4147071619846,3756.0367679049614,1986.0989520761177,288.4995859368817,503.4995859368817,False
VHF,60.0,4.996540966666666,25.0,10.5,55.09528797237068,1510.0375220827168,3775.0938052067922,1974.4572116256404,291.46830638414525,506.46830638414525,False
VHF,60.0,4.996540966666666,25.0,10.75,55.497383911084626,1517.3943433881086,3793.4858584702715,1962.9511545711346,294.43702683140884,509.43702683140884,False
VHF,60.0,4.996540966666666,25.0,11.0,55.88957912374566,1524.4980268491602,3811.2450671229003,1951.5784225896846,297.4057472786724,512.4057472786724,False
VHF,60.0,4.996540966666666,25.0,11.25,56.272264935675125,1531.3606190049852,3828.401547512463,1940.3367116971278,300.3744677259359,515.3744677259359,False
VHF,60.0,4.996540966666666,25.0,11.5,56.64581070558126,1537.9934208836478,3844.9835522091194,1929.2237706919755,303.3431881731995,518.3431881731995,False
VHF,60.0,4.996540966666666,25.0,11.75,57.0105654513723,1544.4070456355155,3861.017614088789,1918.2373996525023,306.31190862046304,521.3119086204631,False
VHF,60.0,4.996540966666666,25.0,12.0,57.36685932552143,1550.6114707669071,3876.528676917268,1907.3754484848994,309.2806290677266,524.2806290677265,False
