apparent_depth_km,surface_offset_km,positive_true_doppler_hz,negative_true_doppler_hz,positive_alias_current_prf_hz,negative_alias_current_prf_hz,positive_alias_zero_overlap_prf_hz,negative_alias_zero_overlap_prf_hz
7.1000000000000005,28.13572540383489,1375.464550269839,-1375.464550269839,-831.8882648329113,831.8882648329113,62.65602082098394,-62.65602082098394
7.112500000000001,28.1654829545403,1376.1058048301365,-1376.1058048301365,-831.2470102726138,831.2470102726138,63.29727538128145,-63.29727538128145
7.125,28.195226657184367,1376.7456259329724,-1376.7456259329724,-830.6071891697779,830.6071891697779,63.93709648411732,-63.93709648411732
7.1375,28.224956555546722,1377.3840182525005,-1377.3840182525005,-829.9687968502499,829.9687968502499,64.57548880364538,-64.57548880364538
7.15,28.254672693202448,1378.0209864418719,-1378.0209864418719,-829.3318286608787,829.3318286608785,65.21245699301676,-65.21245699301676
7.1625000000000005,28.284375113523367,1378.6565351333602,-1378.6565351333602,-828.6962799693902,828.6962799693902,65.8480056845051,-65.8480056845051
7.175000000000001,28.314063859679344,1379.2906689384852,-1379.2906689384852,-828.0621461642654,828.0621461642652,66.48213948963007,-66.48213948963007
7.1875,28.343738974639532,1379.923392448136,-1379.923392448136,-827.4294226546144,827.4294226546144,67.11486299928083,-67.11486299928083
7.2,28.37340050117363,1380.554710232692,-1380.554710232692,-826.7981048700581,826.7981048700583,67.74618078383696,-67.74618078383696
7.2125,28.40304848185314,1381.1846268421446,-1381.1846268421446,-826.1681882606058,826.1681882606058,68.37609739328946,-68.37609739328946
7.2250000000000005,28.4326829590526,1381.813146806217,-1381.813146806217,-825.5396682965334,825.5396682965334,69.0046173573619,-69.0046173573619
7.237500000000001,28.4623039749508,1382.4402746344833,-1382.4402746344833,-824.9125404682668,824.912540468267,69.63174518562823,-69.63174518562823
7.25,28.491911571532015,1383.0660148164861,-1383.0660148164861,-824.2868002862642,824.2868002862642,70.25748536763103,-70.25748536763103
7.2625,28.521505790587213,1383.6903718218557,-1383.6903718218557,-823.6624432808944,823.6624432808946,70.88184237300061,-70.88184237300061
7.275,28.55108667371524,1384.313350100424,-1384.313350100424,-823.0394650023263,823.0394650023263,71.50482065156893,-71.50482065156893
7.2875000000000005,28.580654262324018,1384.9349540823425,-1384.9349540823425,-822.4178610204076,822.4178610204078,72.12642463348743,-72.12642463348743
7.300000000000001,28.610208597631722,1385.5551881781955,-1385.5551881781955,-821.7976269245551,821.7976269245548,72.74665872934042,-72.74665872934042
7.3125,28.63974972066795,1386.174056779115,-1386.174056779115,-821.1787583236351,821.1787583236353,73.36552733025997,-73.36552733025997
7.325,28.669277672274898,1386.7915642568926,-1386.7915642568926,-820.5612508458576,820.5612508458578,73.98303480803747,-73.98303480803747
7.3375,28.698792493108485,1387.4077149640932,-1387.4077149640932,-819.9451001386574,819.9451001386572,74.5991855152381,-74.5991855152381
7.3500000000000005,28.728294223639526,1388.0225132341654,-1388.0225132341654,-819.3303018685851,819.3303018685849,75.21398378531035,-75.21398378531035
7.362500000000001,28.757782904154833,1388.6359633815523,-1388.6359633815523,-818.716851721198,818.716851721198,75.8274339326972,-75.8274339326972
7.375,28.787258574758383,1389.2480697018011,-1389.2480697018011,-818.104745400949,818.1047454009492,76.43954025294602,-76.43954025294602
7.3875,28.816721275372394,1389.858836471673,-1389.858836471673,-817.4939786310774,817.4939786310774,77.05030702281783,-77.05030702281783
7.4,28.846171045738462,1390.46826794925,-1390.46826794925,-816.8845471535001,816.8845471535003,77.65973850039495,-77.65973850039495
7.4125000000000005,28.875607925418645,1391.0763683740433,-1391.0763683740433,-816.276446728707,816.276446728707,78.26783892518824,-78.26783892518824
7.425000000000001,28.905031953796556,1391.6831419670993,-1391.6831419670993,-815.669673135651,815.669673135651,78.87461251824402,-78.87461251824425
7.4375,28.93444317007846,1392.288592931107,-1392.288592931107,-815.0642221716435,815.0642221716435,79.48006348225204,-79.48006348225181
7.45,28.963841613294324,1392.8927254504993,-1392.8927254504993,-814.4600896522511,814.4600896522511,80.08419600164393,-80.08419600164416
7.4625,28.99322732229891,1393.495543691562,-1393.495543691562,-813.8572714111883,813.8572714111883,80.68701424270671,-80.68701424270694
7.4750000000000005,29.02260033577281,1394.0970518025342,-1394.0970518025342,-813.2557633002161,813.2557633002161,81.28852235367935,-81.28852235367913
7.487500000000001,29.05196069222351,1394.6972539137116,-1394.6972539137116,-812.6555611890385,812.6555611890387,81.88872446485652,-81.88872446485652
7.5,29.081308429986436,1395.2961541375498,-1395.2961541375498,-812.0566609652005,812.0566609652005,82.48762468869495,-82.48762468869472
7.5125,29.11064358722596,1395.8937565687643,-1395.8937565687643,-811.4590585339861,811.4590585339861,83.08522711990895,-83.08522711990918
7.525,29.139966201936474,1396.4900652844317,-1396.4900652844317,-810.8627498183187,810.8627498183187,83.68153583557682,-83.6815358355766
7.5375000000000005,29.16927631194336,1397.085084344089,-1397.085084344089,-810.2677307586614,810.2677307586614,84.27655489523363,-84.27655489523386
7.550000000000001,29.19857395490403,1397.6788177898336,-1397.6788177898336,-809.6739973129165,809.6739973129168,84.8702883409785,-84.8702883409785
7.5625,29.227859168308925,1398.2712696464214,-1398.2712696464214,-809.081545456329,809.081545456329,85.46274019756652,-85.46274019756629
7.575,29.257131989482495,1398.8624439213636,-1398.8624439213636,-808.4903711813868,808.4903711813868,86.05391447250872,-86.0539144725085
7.5875,29.286392455584213,1399.4523446050255,-1399.4523446050255,-807.9004704977247,807.9004704977249,86.64381515617038,-86.64381515617038
7.6000000000000005,29.315640603609538,1400.0409756707213,-1400.0409756707213,-807.311839432029,807.311839432029,87.23244622186644,-87.23244622186621
7.612500000000001,29.344876470390876,1400.6283410748106,-1400.6283410748106,-806.7244740279398,806.7244740279398,87.81981162595525,-87.81981162595548
7.625,29.37410009259858,1401.2144447567928,-1401.2144447567928,-806.1383703459574,806.1383703459576,88.40591530793768,-88.40591530793768
7.6375,29.40331150674189,1401.7992906394024,-1401.7992906394024,-805.5535244633479,805.5535244633479,88.99076119054712,-88.99076119054735
7.65,29.43251074916987,1402.3828826287013,-1402.3828826287013,-804.9699324740491,804.9699324740491,89.57435317984596,-89.57435317984618
7.6625000000000005,29.461697856072384,1402.965224614173,-1402.965224614173,-804.3875904885776,804.3875904885774,90.15669516531784,-90.15669516531784
7.675000000000001,29.490872863481,1403.5463204688135,-1403.5463204688135,-803.8064946339368,803.8064946339368,90.7377910199582,-90.73779101995842
7.6875,29.52003580726995,1404.126174049225,-1404.126174049225,-803.2266410535253,803.2266410535253,91.3176446003697,-91.31764460036993
7.7,29.549186723157035,1404.7047891957045,-1404.7047891957045,-802.6480259070458,802.6480259070458,91.89625974684964,-91.89625974684941
7.7125,29.578325646704545,1405.2821697323366,-1405.2821697323366,-802.0706453704138,802.0706453704138,92.47364028348125,-92.47364028348147
7.7250000000000005,29.60745261332018,1405.8583194670812,-1405.8583194670812,-801.494495635669,801.4944956356692,93.04979001822608,-93.04979001822608
7.737500000000001,29.63656765825793,1406.4332421918639,-1406.4332421918639,-800.9195729108865,800.9195729108865,93.62471274300856,-93.62471274300879
7.75,29.665670816618995,1407.006941682664,-1407.006941682664,-800.3458734200863,800.3458734200863,94.19841223380877,-94.198412233809
7.7625,29.694762123352664,1407.5794216996026,-1407.5794216996026,-799.773393403148,799.7733934031478,94.77089225074747,-94.77089225074747
7.775,29.723841613257196,1408.1506859870299,-1408.1506859870299,-799.2021291157203,799.2021291157205,95.34215653817478,-95.34215653817478
7.7875000000000005,29.752909320980695,1408.7207382736103,-1408.7207382736103,-798.6320768291403,798.63207682914,95.91220882475523,-95.91220882475523
7.800000000000001,29.781965281022003,1409.2895822724126,-1409.2895822724126,-798.0632328303377,798.0632328303377,96.48105282355732,-96.48105282355755
7.8125,29.81100952773153,1409.85722168099,-1409.85722168099,-797.4955934217601,797.4955934217603,97.04869223213495,-97.04869223213495
7.825,29.840042095312132,1410.4236601814691,-1410.4236601814691,-796.9291549212812,796.9291549212812,97.61513073261426,-97.61513073261403
7.8375,29.86906301781996,1410.9889014406328,-1410.9889014406328,-796.3639136621173,796.3639136621175,98.18037199177775,-98.18037199177775
7.8500000000000005,29.898072329165306,1411.5529491100033,-1411.5529491100033,-795.7998659927471,795.7998659927471,98.74441966114841,-98.74441966114819
7.862500000000001,29.927070063113426,1412.1158068259263,-1412.1158068259263,-795.2370082768243,795.2370082768241,99.30727737707116,-99.30727737707116
7.875,29.956056253285414,1412.6774782096538,-1412.6774782096538,-794.6753368930963,794.6753368930965,99.86894876079873,-99.86894876079873
7.8875,29.985030933158967,1413.2379668674234,-1413.2379668674234,-794.1148482353269,794.1148482353269,100.42943741856811,-100.42943741856834
7.9,30.01399413606926,1413.797276390544,-1413.797276390544,-793.5555387122063,793.5555387122063,100.98874694168876,-100.98874694168899
7.9125000000000005,30.042945895209744,1414.3554103554739,-1414.3554103554739,-792.9974047472765,792.9974047472765,101.54688090661853,-101.54688090661875
7.925000000000001,30.07188624363294,1414.9123723239004,-1414.9123723239004,-792.44044277885,792.44044277885,102.10384287504507,-102.1038428750453
7.9375,30.10081521425126,1415.468165842822,-1415.468165842822,-791.8846492599282,791.8846492599284,102.65963639396682,-102.65963639396682
7.95,30.129732839837793,1416.0227944446256,-1416.0227944446256,-791.3300206581248,791.3300206581248,103.21426499577024,-103.21426499577046
