timeS,altitudeFineKm,incidenceFineDeg,distanceFineKm,groundTrackFineKm,latFineDeg,lonFineDeg,rangeRateKmS,dopplerHz,aliasHz_prf_737_7,foldOrder_prf_737_7,aliasHz_prf_1000,foldOrder_prf_1000,aliasHz_prf_1500,foldOrder_prf_1500,aliasHz_prf_2200,foldOrder_prf_2200,aliasHz_prf_3000,foldOrder_prf_3000
-162,192.333,18.055,88.294,-658.924,-0.511,177.19,-1.0005,400.477052694902,-337.222947305098,1,400.477052694902,0,400.477052694902,0,400.477052694902,0,400.477052694902,0
-161.5,191.504,18.1225,87.862,-657.102,-0.51125,177.257,-0.86399999999999,345.83925390144,345.83925390144,0,345.83925390144,0,345.83925390144,0,345.83925390144,0,345.83925390144,0
-161,190.675,18.19,87.43,-655.28,-0.5115,177.324,-0.864000000000004,345.839253901446,345.839253901446,-0,345.839253901446,0,345.839253901446,0,345.839253901446,0,345.839253901446,0
-160.5,189.846,18.2575,86.998,-653.458,-0.51175,177.391,-0.864000000000004,345.839253901446,345.839253901446,-0,345.839253901446,0,345.839253901446,0,345.839253901446,0,345.839253901446,0
-160,189.017,18.325,86.566,-651.636,-0.512,177.458,-0.717999999999989,287.398824422724,287.398824422724,0,287.398824422724,0,287.398824422723,0,287.398824422723,0,287.398824422723,0
-159.5,188.19675,18.3925,86.28,-649.80725,-0.51225,177.525,-0.572000000000003,228.958394944013,228.958394944013,0,228.958394944013,0,228.958394944013,0,228.958394944013,-0,228.958394944013,-0
-159,187.3765,18.46,85.994,-647.9785,-0.5125,177.592,-0.572000000000003,228.958394944013,228.958394944013,0,228.958394944013,0,228.958394944013,0,228.958394944013,-0,228.958394944013,-0
-158.5,186.55625,18.5275,85.708,-646.14975,-0.51275,177.659,-0.572000000000003,228.958394944013,228.958394944013,0,228.958394944013,0,228.958394944013,0,228.958394944013,-0,228.958394944013,-0
-158,185.736,18.595,85.422,-644.321,-0.513,177.726,-0.418000000000006,167.315750151396,167.315750151396,0,167.315750151396,0,167.315750151396,0,167.315750151396,0,167.315750151396,0
-157.5,184.92475,18.663,85.29,-642.48525,-0.5135,177.7935,-0.263999999999996,105.673105358773,105.673105358773,0,105.673105358773,0,105.673105358773,0,105.673105358773,-0,105.673105358773,-0
