along_km,terrain_candidate_band,flat_beam_candidate_band,nadir_only_flat_band,terrain_minus_flat_excess
106.5,24595.476253440513,126.41587119392752,0.0019734361795794787,24469.060382246586
107.0,24258.183700512363,124.9286396260868,0.0019734361795794787,24133.255060886277
107.5,23914.388726237885,123.56155791221167,0.0019734361795794787,23790.82716832567
108.0,23587.098660566073,122.1768269505853,0.0019734361795794787,23464.921833615488
108.5,23291.92309055032,120.81456475219024,0.0019734361795794787,23171.108525798132
109.0,23025.987891683206,119.44869635109512,0.0019734361795794787,22906.539195332112
109.5,22797.08632667083,118.19329135825755,0.0019734361795794787,22678.893035312572
110.0,22625.165101288156,116.82773809106673,0.0019734361795794787,22508.33736319709
110.5,22406.29766431337,115.58537631321602,0.0019734361795794787,22290.712288000155
111.0,22226.784076723736,114.3398247383855,0.0019734361795794787,22112.44425198535
111.5,22075.270659750575,113.08594202323688,0.0019734361795794787,21962.184717727338
112.0,21807.838210736278,111.84431594126832,0.0019734361795794787,21695.99389479501
112.5,21590.15395685365,110.59365712082258,0.0019734361795794787,21479.560299732828
113.0,21420.651097983035,109.34759545314895,0.0019734361795794787,21311.303502529885
113.5,21258.16248028668,108.10806112304273,0.0019734361795794787,21150.054419163636
114.0,21020.917690346952,106.85287585533152,0.0019734361795794787,20914.06481449162
114.5,20961.213260318367,105.72823973281648,0.0019734361795794787,20855.48502058555
115.0,20745.311694793963,104.48440755066325,0.0019734361795794787,20640.8272872433
115.5,20587.69691151197,103.23761421925268,0.0019734361795794787,20484.459297292717
116.0,20528.681322406876,102.00061104241603,0.0019734361795794787,20426.68071136446
116.5,20375.190200133224,100.86735947916564,0.0019734361795794787,20274.32284065406
117.0,20214.063843268577,99.75502298915521,0.0019734361795794787,20114.30882027942
117.5,20049.201718910164,98.6218540399545,0.0019734361795794787,19950.57986487021
118.0,19898.29729757404,97.38112697546248,0.0019734361795794787,19800.91617059858
118.5,19689.878104487547,96.1449989980868,0.0019734361795794787,19593.73310548946
119.0,19482.703815079225,94.8976951772379,0.0019734361795794787,19387.806119901987
119.5,19315.418734199502,93.64397632300452,0.0019734361795794787,19221.774757876497
120.0,19082.69038525024,92.39774473512746,0.0019734361795794787,18990.292640515112
