column,usrdr_deep_energy_db,usrdr_robust_z,rdr_complex_deep_energy_db,rdr_complex_robust_z,edr_raw_deep_energy_db,combined_low_signal_score,low_signal_flag
137,-39.24317932128906,-0.5074419379234314,8.840453147888184,-0.8560063242912292,12.113670349121094,-0.6817241311073303,False
138,-39.28532028198242,-0.5205241441726685,10.527130126953125,-0.48882025480270386,12.010817527770996,-0.5046721696853638,False
139,-40.23766326904297,-0.8161686658859253,8.97488784790039,-0.8267401456832886,11.924816131591797,-0.8214544057846069,False
140,-39.3787841796875,-0.5495389699935913,9.71373462677002,-0.6658947467803955,11.967498779296875,-0.6077168583869934,False
141,-39.79642868041992,-0.6791921854019165,10.168994903564453,-0.5667855739593506,11.967498779296875,-0.6229888796806335,False
142,-39.77008819580078,-0.6710150837898254,10.711926460266113,-0.448590487241745,12.00029182434082,-0.559802770614624,False
143,-39.8529167175293,-0.6967282891273499,14.023784637451172,0.27239418029785156,11.946210861206055,-0.21216705441474915,False
144,-38.99198532104492,-0.4294614791870117,17.8596134185791,1.1074460744857788,12.082758903503418,0.33899229764938354,False
145,-39.71748733520508,-0.6546856760978699,16.68922233581543,0.8526543974876404,11.999238967895508,0.09898436069488525,False
146,-38.9610481262207,-0.419857382774353,16.664012908935547,0.8471663594245911,12.051628112792969,0.21365448832511902,False
147,-39.03619384765625,-0.4431855380535126,16.772356033325195,0.8707524538040161,12.10339069366455,0.21378345787525177,False
148,-39.401145935058594,-0.5564809441566467,14.97327709197998,0.4790967106819153,11.924816131591797,-0.03869211673736572,False
149,-40.15440368652344,-0.7903216481208801,16.463491439819336,0.8035132884979248,12.072406768798828,0.006595820188522339,False
150,-39.33967208862305,-0.5373970866203308,16.817630767822266,0.8806086778640747,12.165717124938965,0.17160579562187195,False
151,-40.0040283203125,-0.7436392307281494,12.945167541503906,0.037581466138362885,12.072406768798828,-0.35302889347076416,False
152,-39.411216735839844,-0.5596073269844055,15.8339262008667,0.666458249092102,12.051628112792969,0.05342546105384827,False
153,-39.52216339111328,-0.5940495133399963,16.798931121826172,0.8765377998352051,12.010817527770996,0.14124414324760437,False
154,-39.18973159790039,-0.49084967374801636,15.367330551147461,0.5648813247680664,12.184951782226562,0.037015825510025024,False
155,-39.52558898925781,-0.5951129198074341,16.411252975463867,0.7921410799026489,12.123924255371094,0.09851408004760742,False
156,-39.83663558959961,-0.691673994064331,14.19594955444336,0.30987411737442017,12.072406768798828,-0.19089993834495544,False
157,-39.90262985229492,-0.7121611833572388,15.516067504882812,0.5972610712051392,12.051628112792969,-0.057450056076049805,False
158,-39.49364471435547,-0.5851961970329285,16.92864990234375,0.9047772884368896,12.2151460647583,0.1597905457019806,False
159,-39.95879364013672,-0.7295966148376465,19.58070182800293,1.4821234941482544,12.113670349121094,0.37626343965530396,False
160,-40.09431457519531,-0.7716675996780396,19.606576919555664,1.4877564907073975,12.274911880493164,0.35804444551467896,False
161,-40.23744583129883,-0.8161011934280396,16.94993019104004,0.9094099998474121,12.113670349121094,0.04665440320968628,False
162,-40.05830764770508,-0.7604896426200867,17.22315788269043,0.9688910841941833,12.195038795471191,0.10420072078704834,False
163,-39.882781982421875,-0.7059996128082275,17.096250534057617,0.9412636160850525,12.105860710144043,0.11763200163841248,False
164,-39.91893005371094,-0.7172213792800903,19.84159278869629,1.5389188528060913,12.020269393920898,0.4108487367630005,False
165,-40.202430725097656,-0.8052310943603516,17.741191864013672,1.0816659927368164,12.020269393920898,0.13821744918823242,False
166,-39.97357940673828,-0.7341867089271545,16.18662452697754,0.7432399392127991,12.072406768798828,0.004526615142822266,False
167,-39.64044952392578,-0.6307701468467712,20.03292465209961,1.5805714130401611,12.062029838562012,0.47490063309669495,False
168,-40.02467727661133,-0.7500494718551636,19.89670753479004,1.5509172677993774,12.082758903503418,0.40043389797210693,False
169,-39.362247467041016,-0.5444053411483765,18.395322799682617,1.2240688800811768,12.051628112792969,0.33983176946640015,False
170,-39.992366790771484,-0.7400190234184265,17.53391456604004,1.0365421772003174,12.093087196350098,0.14826157689094543,False
171,-40.089996337890625,-0.770327091217041,14.708969116210938,0.42155739665031433,12.123924255371094,-0.17438484728336334,False
172,-39.82123947143555,-0.686894416809082,15.553147315979004,0.6053332686424255,12.051628112792969,-0.04078057408332825,False
173,-39.98355484008789,-0.73728346824646,16.762434005737305,0.8685924410820007,12.009767532348633,0.06565448641777039,False
174,-40.44021224975586,-0.8790478110313416,18.709562301635742,1.2924782037734985,11.967498779296875,0.2067151963710785,False
175,-39.732181549072266,-0.6592473387718201,15.305298805236816,0.5513771176338196,12.144363403320312,-0.053935110569000244,False
176,-39.843196868896484,-0.6937108635902405,16.39957618713379,0.7895990610122681,11.903316497802734,0.047944098711013794,False
177,-39.74467086791992,-0.6631245613098145,16.89154052734375,0.8966986536979675,11.999238967895508,0.11678704619407654,False
178,-39.382469177246094,-0.5506829619407654,20.089969635009766,1.5929900407791138,12.041200637817383,0.5211535692214966,False
179,-39.77348327636719,-0.6720690131187439,19.45621681213379,1.4550234079360962,11.967498779296875,0.39147719740867615,False
180,-40.019222259521484,-0.74835604429245,19.236440658569336,1.407178521156311,11.968559265136719,0.32941123843193054,False
181,-39.137786865234375,-0.4747239947319031,16.820207595825195,0.8811696171760559,11.924816131591797,0.20322281122207642,False
182,-39.27182388305664,-0.5163342952728271,18.742380142211914,1.299622654914856,11.956868171691895,0.3916441798210144,False
183,-39.92611312866211,-0.7194513082504272,15.125828742980957,0.5123068690299988,12.020269393920898,-0.10357221961021423,False
184,-39.65144729614258,-0.6341843008995056,15.831052780151367,0.6658326983451843,11.935527801513672,0.015824198722839355,False
185,-39.375335693359375,-0.5484684705734253,17.940881729125977,1.1251380443572998,12.123924255371094,0.28833478689193726,False
186,-39.37160873413086,-0.5473114252090454,17.72389030456543,1.07789945602417,12.164703369140625,0.26529401540756226,False
187,-39.63072967529297,-0.6277527213096619,16.574981689453125,0.8277844786643982,11.978105545043945,0.10001587867736816,False
188,-39.85837173461914,-0.6984217166900635,15.462531089782715,0.5856062769889832,12.113670349121094,-0.05640771985054016,False
189,-39.444252014160156,-0.5698627829551697,20.53141975402832,1.689092755317688,12.134156227111816,0.5596150159835815,False
190,-38.79180908203125,-0.3673189580440521,22.72554588317871,2.1667494773864746,12.020269393920898,0.89971524477005,False
191,-39.090457916259766,-0.4600312411785126,21.56733512878418,1.914609432220459,12.2151460647583,0.727289080619812,False
192,-40.0479621887207,-0.7572780251502991,19.311731338500977,1.4235692024230957,12.195038795471191,0.3331455886363983,False
193,-39.50178146362305,-0.5877221822738647,18.56436538696289,1.2608691453933716,12.164703369140625,0.3365734815597534,False
194,-39.661190032958984,-0.6372088193893433,18.24488639831543,1.191319227218628,12.184951782226562,0.27705520391464233,False
195,-39.63533020019531,-0.629180908203125,19.979402542114258,1.5689197778701782,12.009767532348633,0.4698694348335266,False
196,-39.83442306518555,-0.6909871101379395,19.500778198242188,1.4647243022918701,12.116544723510742,0.38686859607696533,False
197,-39.30101013183594,-0.525394856929779,17.964580535888672,1.1302971839904785,12.041200637817383,0.30245116353034973,False
198,-39.879215240478516,-0.7048923969268799,16.388322830200195,0.78714919090271,12.165717124938965,0.04112839698791504,False
199,-39.72780227661133,-0.657887876033783,18.254009246826172,1.193305253982544,12.154545783996582,0.2677086889743805,False
200,-40.014434814453125,-0.7468698024749756,15.281582832336426,0.54621422290802,12.255081176757812,-0.10032778978347778,False
201,-39.46940612792969,-0.5776715874671936,11.940717697143555,-0.18108516931533813,12.245131492614746,-0.37937837839126587,False
202,-39.6808967590332,-0.6433265805244446,14.46112060546875,0.36760130524635315,12.430380821228027,-0.13786263763904572,False
