x_km,z_km,dz_dx,dz_dt_km_s,range_km,dR_dt_m_s,vhf_doppler_hz,hf_doppler_hz
-20.200,400.453378,-0.044888889,-0.179555556,401.741145,-380.104529,152.041812,22.829101
-20.000,400.444444,-0.044444444,-0.177777778,401.722234,-376.354881,150.541952,22.603897
-19.800,400.435600,-0.044000000,-0.176000000,401.703510,-372.604824,149.041930,22.378668
-19.600,400.426844,-0.043555556,-0.174222222,401.684973,-368.854362,147.541745,22.153415
-19.400,400.418178,-0.043111111,-0.172444444,401.666624,-365.103500,146.041400,21.928138
-19.200,400.409600,-0.042666667,-0.170666667,401.648463,-361.352240,144.540896,21.702837
-19.000,400.401111,-0.042222222,-0.168888889,401.630489,-357.600587,143.040235,21.477513
-18.800,400.392711,-0.041777778,-0.167111111,401.612703,-353.848546,141.539418,21.252165
-18.600,400.384400,-0.041333333,-0.165333333,401.595104,-350.096119,140.038448,21.026794
-18.400,400.376178,-0.040888889,-0.163555556,401.577693,-346.343312,138.537325,20.801400
-18.200,400.368044,-0.040444444,-0.161777778,401.560470,-342.590127,137.036051,20.575984
-18.000,400.360000,-0.040000000,-0.160000000,401.543434,-338.836570,135.534628,20.350545
-17.800,400.352044,-0.039555556,-0.158222222,401.526586,-335.082644,134.033058,20.125084
-17.600,400.344178,-0.039111111,-0.156444444,401.509926,-331.328353,132.531341,19.899601
-17.400,400.336400,-0.038666667,-0.154666667,401.493453,-327.573701,131.029480,19.674096
-17.200,400.328711,-0.038222222,-0.152888889,401.477169,-323.818693,129.527477,19.448570
-17.000,400.321111,-0.037777778,-0.151111111,401.461072,-320.063331,128.025332,19.223023
-16.800,400.313600,-0.037333333,-0.149333333,401.445162,-316.307621,126.523048,18.997455
-16.600,400.306178,-0.036888889,-0.147555556,401.429441,-312.551566,125.020626,18.771866
-16.400,400.298844,-0.036444444,-0.145777778,401.413907,-308.795171,123.518068,18.546256
-16.200,400.291600,-0.036000000,-0.144000000,401.398561,-305.038439,122.015375,18.320627
-16.000,400.284444,-0.035555556,-0.142222222,401.383403,-301.281374,120.512550,18.094977
-15.800,400.277378,-0.035111111,-0.140444444,401.368433,-297.523981,119.009592,17.869308
-15.600,400.270400,-0.034666667,-0.138666667,401.353651,-293.766263,117.506505,17.643619
-15.400,400.263511,-0.034222222,-0.136888889,401.339057,-290.008225,116.003290,17.417911
-15.200,400.256711,-0.033777778,-0.135111111,401.324650,-286.249870,114.499948,17.192184
-15.000,400.250000,-0.033333333,-0.133333333,401.310432,-282.491203,112.996481,16.966439
-14.800,400.243378,-0.032888889,-0.131555556,401.296401,-278.732228,111.492891,16.740674
-14.600,400.236844,-0.032444444,-0.129777778,401.282558,-274.972949,109.989179,16.514892
