position_km,normal_altitude_km,parabolic_altitude_km,parabolic_vertical_speed_km_s,normal_radial_velocity_m_s,parabolic_radial_velocity_m_s,normal_vhf_doppler_hz,parabolic_vhf_doppler_hz,normal_hf_doppler_hz,parabolic_hf_doppler_hz
5.600,400.000000,400.034844,0.049778,55.885489,105.556649,-22.354196,-42.222660,-3.356486,-6.339739
5.800,400.000000,400.037378,0.051556,57.880989,109.325390,-23.152396,-43.730156,-3.476336,-6.566090
6.000,400.000000,400.040000,0.053333,59.876445,113.094012,-23.950578,-45.237605,-3.596183,-6.792433
6.200,400.000000,400.042711,0.055111,61.871857,116.862509,-24.748743,-46.745003,-3.716027,-7.018769
6.400,400.000000,400.045511,0.056889,63.867222,120.630878,-25.546889,-48.252351,-3.835869,-7.245098
6.600,400.000000,400.048400,0.058667,65.862540,124.399114,-26.345016,-49.759646,-3.955708,-7.471418
6.800,400.000000,400.051378,0.060444,67.857809,128.167215,-27.143123,-51.266886,-4.075544,-7.697731
7.000,400.000000,400.054444,0.062222,69.853027,131.935175,-27.941211,-52.774070,-4.195377,-7.924035
7.200,400.000000,400.057600,0.064000,71.848192,135.702990,-28.739277,-54.281196,-4.315207,-8.150330
7.400,400.000000,400.060844,0.065778,73.843305,139.470657,-29.537322,-55.788263,-4.435033,-8.376616
7.600,400.000000,400.064178,0.067556,75.838362,143.238170,-30.335345,-57.295268,-4.554857,-8.602893
7.800,400.000000,400.067600,0.069333,77.833362,147.005527,-31.133345,-58.802211,-4.674676,-8.829161
8.000,400.000000,400.071111,0.071111,79.828304,150.772723,-31.931322,-60.309089,-4.794493,-9.055419
8.200,400.000000,400.074711,0.072889,81.823187,154.539753,-32.729275,-61.815901,-4.914306,-9.281667
8.400,400.000000,400.078400,0.074667,83.818009,158.306614,-33.527203,-63.322646,-5.034115,-9.507905
8.600,400.000000,400.082178,0.076444,85.812768,162.073302,-34.325107,-64.829321,-5.153920,-9.734132
