x_km,shell_mode,scenario,band,frequency_mhz,band_role,ocean_depth_m,surface_height_m,surface_slope_deg,lens_strength,layer_count,layer_source_statuses,layer_sources,ocean_in_band_window,ocean_snr_margin_db,false_snr_margin_db,false_minus_ocean_db,false_depth_m,false_label,false_source_status,surface_clutter_snr_margin_db,surface_clutter_minus_ocean_db,surface_clutter_apparent_depth_m,surface_clutter_label,surface_clutter_source_status,surface_clutter_detected,surface_clutter_confuses_shallow_window,surface_roughness_index,classification,inferred_depth_m,inferred_depth_error_m,thermal_mode,thin_layer_solver
-59.5,thin_3km_reason_mode,salt_layers_reason,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,1,Directly paper anchored epsilon and layer thicknesses,"Blankenship et al. 2024, REASON",True,28.23412343455967,11.432498892500167,-16.801624542059503,1447.4094829716678,base 1 m ocean-injected hydrated salt layer; top 1 m ocean-injected hydrated salt layer,Directly paper anchored epsilon and layer thicknesses,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2894.8189659433356,0.0,cold_conductive,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,near_surface_brine,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,0,none,none,True,19.261375334784343,-999.0,-1018.2613753347844,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2894.8189659433356,0.0,cold_conductive,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,near_surface_brine,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,0,none,none,True,10.08162232100581,-999.0,-1009.0816223210059,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2894.8189659433356,0.0,cold_conductive,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,near_surface_brine,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,0,none,none,True,28.23670542345714,-999.0,-1027.2367054234571,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2894.8189659433356,0.0,cold_conductive,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,warm_impure_ice,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,0,none,none,True,17.17111335279048,-999.0,-1016.1711133527905,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2894.8189659433356,0.0,warm_impure,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,warm_impure_ice,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,0,none,none,True,4.684589090690661,-999.0,-1003.6845890906907,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2894.8189659433356,0.0,warm_impure,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,warm_impure_ice,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,0,none,none,True,22.839672193141993,-999.0,-1021.839672193142,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2894.8189659433356,0.0,warm_impure,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,stacked_dirty_layers,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,6,Sensitivity bracket from paper-supported material families,"Blankenship et al. 2024, REASON; Pettinelli et al. 2015 review; Lalich et al. 2021 / Mars analog",True,13.965265711765877,17.358150184899994,3.3928844731341172,2246.92898738321,base paper-bracketed stacked dirty layer; top paper-bracketed stacked dirty layer,Sensitivity bracket from paper-supported material families,-999.0,,,none,none,False,False,0.0,false layer stronger,2246.92898738321,-647.8899785601257,warm_impure,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,stacked_dirty_layers,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,6,Sensitivity bracket from paper-supported material families,"Blankenship et al. 2024, REASON; Pettinelli et al. 2015 review; Lalich et al. 2021 / Mars analog",True,-3.5928739254204274,-0.11643267368818852,3.476441251732239,2158.92898738321,top paper-bracketed stacked dirty layer,Sensitivity bracket from paper-supported material families,-999.0,,,none,none,False,False,0.0,weak/no deep detection,,,warm_impure,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,stacked_dirty_layers,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,6,Sensitivity bracket from paper-supported material families,"Blankenship et al. 2024, REASON; Pettinelli et al. 2015 review; Lalich et al. 2021 / Mars analog",True,14.562209177030905,18.038650428763148,3.4764412517322434,2158.92898738321,top paper-bracketed stacked dirty layer,Sensitivity bracket from paper-supported material families,-999.0,,,none,none,False,False,0.0,false layer stronger,2158.92898738321,-735.8899785601257,warm_impure,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,briny_mushy_lens,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,0,none,none,True,17.17111335279048,-999.0,-1016.1711133527905,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2894.8189659433356,0.0,warm_impure,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,briny_mushy_lens,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,0,none,none,True,4.684589090690661,-999.0,-1003.6845890906907,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2894.8189659433356,0.0,warm_impure,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,briny_mushy_lens,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,0,none,none,True,22.839672193141993,-999.0,-1021.839672193142,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2894.8189659433356,0.0,warm_impure,normal_incidence_transfer_matrix
