shell_mode,scenario,band,points,clear_ocean_pct,ambiguous_pct,false_stronger_pct,hidden_false_visible_pct,internal_feature_only_pct,surface_clutter_pct,outside_band_depth_window_pct,weak_no_deep_detection_pct,deep_false_risk_pct,surface_clutter_detected_pct,median_surface_clutter_snr_margin_db,max_surface_clutter_minus_ocean_db,median_ocean_snr_margin_db,min_ocean_snr_margin_db,max_false_minus_ocean_db,max_abs_inferred_depth_error_m,median_layer_count
thin_3km_reason_mode,stacked_dirty_layers,HF_9MHz_full_depth,241,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,12.988476710860773,12.225034301439571,5.046567336162367,805.7037494768315,6.0
thin_3km_reason_mode,stacked_dirty_layers,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,12.024575564792706,10.043978427308101,8.0409993414054,893.7037494768313,6.0
thin_3km_reason_mode,stacked_dirty_layers,VHF_60MHz_shallow,241,0.0,0.0,44.81327800829876,0.0,0.0,0.0,0.0,55.18672199170125,44.81327800829876,0.0,,,-6.130507537658625,-8.111104675143233,8.040999341405396,893.7037494768313,6.0
thin_3km_reason_mode,warm_impure_ice,HF_9MHz_full_depth,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,17.06939700797484,16.927618396211418,-1015.9276183962114,0.0,0.0
thin_3km_reason_mode,warm_impure_ice,VHF_60MHz_full_depth_lowDR,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,22.563493645975502,22.1856934014767,-1021.1856934014767,0.0,0.0
thin_3km_reason_mode,warm_impure_ice,VHF_60MHz_shallow,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.40841054352417,4.030610299025368,-1003.0306102990254,0.0,0.0
workbook_mid_shell,briny_mushy_lens,HF_9MHz_full_depth,241,32.365145228215766,0.0,0.0,0.0,0.0,0.0,0.0,67.63485477178423,0.0,0.0,,,-4.042813059119362,-40.97499893804375,55.424404717894234,0.0,1.0
workbook_mid_shell,briny_mushy_lens,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,-31.936326629019376,-127.2905239743413,148.43964607051487,,1.0
workbook_mid_shell,briny_mushy_lens,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,,,1.0
workbook_mid_shell,clean_ice_control,HF_9MHz_full_depth,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.40080455006378,12.715332947375137,-1011.7153329473751,0.0,0.0
