Column,SpacecraftLon,SpacecraftLat,SpacecraftHgt,NadirHgt,NadirLine,NadirAreoidRad,NadirEllipsoidRad,FirstLon,FirstLat,FirstHgt,FirstLine
3722,7.853688,80.717333,317214.161,-1446,2403,3378673,3376727.659,7.747949,80.732763,-1442.259,2403
3723,7.839799,80.709894,317212.947,-1446,2403,3378674,3376728.497,7.780607,80.719879,-1444.709,2403
3724,7.826025,80.702505,317211.741,-1448,2404,3378675,3376729.330,7.758683,80.716094,-1444.802,2403
3725,7.812179,80.695065,317210.525,-1448,2403,3378675,3376730.170,7.813093,80.705352,-1448.013,2403
3726,7.799466,80.688225,317209.406,-1449,2404,3378676,3376730.943,7.751305,80.700899,-1447.960,2404
3727,7.785752,80.680834,317208.196,-1452,2404,3378677,3376731.778,7.822081,80.692615,-1449.451,2404
3728,7.771967,80.673393,317206.976,-1455,2405,3378678,3376732.620,7.722037,80.690436,-1449.697,2404
3729,7.758294,80.666001,317205.764,-1458,2405,3378678,3376733.457,7.713838,80.682786,-1451.672,2404
3730,7.744550,80.658559,317204.542,-1460,2405,3378679,3376734.300,7.700119,80.675350,-1454.069,2405
3731,7.730919,80.651167,317203.327,-1461,2406,3378680,3376735.138,7.697385,80.667436,-1456.409,2405
3732,7.717216,80.643723,317202.103,-1462,2406,3378680,3376735.982,7.694563,80.659473,-1460.311,2406
3733,7.703626,80.636330,317200.885,-1467,2407,3378680,3376736.822,7.625802,80.653690,-1462.189,2406
3734,7.689964,80.628886,317199.659,-1470,2407,3378682,3376737.668,7.659194,80.645042,-1467.503,2407
3735,7.676414,80.621491,317198.439,-1472,2408,3378683,3376738.509,7.659208,80.636997,-1470.417,2407
3736,7.662793,80.614046,317197.210,-1475,2408,3378683,3376739.356,7.607678,80.631396,-1471.720,2408
3737,7.649284,80.606651,317195.987,-1478,2409,3378684,3376740.198,7.602321,80.623612,-1474.271,2408
3738,7.635704,80.599205,317194.756,-1480,2409,3378685,3376741.047,7.594177,80.615910,-1477.148,2409
3739,7.622235,80.591809,317193.531,-1481,2409,3378685,3376741.891,7.560932,80.608411,-1479.335,2409
3740,7.608695,80.584362,317192.297,-1483,2409,3378685,3376742.741,7.560934,80.600316,-1481.258,2409
3741,7.595267,80.576964,317191.070,-1487,2410,3378687,3376743.586,7.569120,80.591878,-1483.887,2410
3742,7.581767,80.569516,317189.834,-1489,2411,3378688,3376744.438,7.572687,80.584675,-1487.042,2410
3743,7.568378,80.562118,317188.604,-1490,2411,3378689,3376745.284,7.507229,80.578741,-1487.943,2411
3744,7.554919,80.554669,317187.365,-1492,2411,3378689,3376746.137,7.509966,80.570515,-1489.327,2411
3745,7.541570,80.547270,317186.133,-1495,2412,3378690,3376746.985,7.523547,80.561817,-1492.322,2411
3746,7.528151,80.539820,317184.892,-1497,2412,3378691,3376747.839,7.528949,80.553460,-1495.613,2412
3747,7.514841,80.532420,317183.658,-1500,2413,3378692,3376748.688,7.572891,80.544347,-1497.769,2412
3748,7.501462,80.524969,317182.414,-1504,2413,3378692,3376749.544,7.515666,80.537972,-1501.055,2412
3749,7.488192,80.517568,317181.177,-1507,2414,3378692,3376750.395,7.478245,80.531751,-1503.769,2413
3750,7.474852,80.510117,317179.931,-1510,2414,3378694,3376751.252,7.480986,80.523525,-1507.714,2414
3751,7.461621,80.502714,317178.692,-1514,2415,3378695,3376752.104,7.478456,80.515610,-1510.624,2414
3752,7.448320,80.495262,317177.443,-1516,2415,3378695,3376752.962,7.490079,80.508017,-1512.886,2415
3753,7.435128,80.487859,317176.202,-1521,2416,3378696,3376753.816,7.490217,80.499971,-1515.591,2415
3754,7.421867,80.480405,317174.951,-1523,2416,3378697,3376754.676,7.476048,80.491502,-1520.844,2416
3755,7.408714,80.473001,317173.707,-1529,2417,3378698,3376755.531,7.452175,80.484628,-1524.526,2417
3756,7.395492,80.465547,317172.453,-1529,2417,3378698,3376756.392,7.444251,80.476922,-1527.526,2417
3757,7.382289,80.458092,317171.198,-1533,2418,3378699,3376757.254,7.431863,80.470500,-1530.268,2418
3758,7.369194,80.450687,317169.951,-1538,2419,3378700,3376758.111,7.453348,80.461414,-1534.207,2418
