position_km,parabolic_altitude_km,parabolic_vertical_speed_km_s,hf_doppler_hz,vhf_doppler_hz,hf_abs_doppler_hz,vhf_abs_doppler_hz
0.400,400.000178,0.003555556,-0.452903,-3.016334,0.452903,3.016334
0.600,400.000400,0.005333333,-0.679354,-4.524498,0.679354,4.524498
0.800,400.000711,0.007111111,-0.905804,-6.032656,0.905804,6.032656
1.000,400.001111,0.008888889,-1.132253,-7.540807,1.132253,7.540807
1.200,400.001600,0.010666667,-1.358701,-9.048950,1.358701,9.048950
1.400,400.002178,0.012444444,-1.585148,-10.557084,1.585148,10.557084
1.600,400.002844,0.014222222,-1.811592,-12.065205,1.811592,12.065205
1.800,400.003600,0.016000000,-2.038035,-13.573314,2.038035,13.573314
2.000,400.004444,0.017777778,-2.264476,-15.081408,2.264476,15.081408
2.200,400.005378,0.019555556,-2.490914,-16.589485,2.490914,16.589485
2.400,400.006400,0.021333333,-2.717349,-18.097543,2.717349,18.097543
2.600,400.007511,0.023111111,-2.943781,-19.605582,2.943781,19.605582
2.800,400.008711,0.024888889,-3.170210,-21.113600,3.170210,21.113600
3.000,400.010000,0.026666667,-3.396636,-22.621594,3.396636,22.621594
3.200,400.011378,0.028444444,-3.623058,-24.129564,3.623058,24.129564
3.400,400.012844,0.030222222,-3.849475,-25.637507,3.849475,25.637507
3.600,400.014400,0.032000000,-4.075889,-27.145422,4.075889,27.145422
3.800,400.016044,0.033777778,-4.302298,-28.653307,4.302298,28.653307
4.000,400.017778,0.035555556,-4.528703,-30.161160,4.528703,30.161160
4.200,400.019600,0.037333333,-4.755102,-31.668981,4.755102,31.668981
4.400,400.021511,0.039111111,-4.981497,-33.176767,4.981497,33.176767
4.600,400.023511,0.040888889,-5.207885,-34.684516,5.207885,34.684516
4.800,400.025600,0.042666667,-5.434268,-36.192228,5.434268,36.192228
5.000,400.027778,0.044444444,-5.660646,-37.699899,5.660646,37.699899
5.200,400.030044,0.046222222,-5.887016,-39.207530,5.887016,39.207530
5.400,400.032400,0.048000000,-6.113381,-40.715117,6.113381,40.715117
5.600,400.034844,0.049777778,-6.339739,-42.222660,6.339739,42.222660
5.800,400.037378,0.051555556,-6.566090,-43.730156,6.566090,43.730156
6.000,400.040000,0.053333333,-6.792433,-45.237605,6.792433,45.237605
6.200,400.042711,0.055111111,-7.018769,-46.745003,7.018769,46.745003
