x_km,scenario,frequency,frequency_mhz,frequency_role,surface_height_m,surface_slope_deg,upper_depth_m,lens_strength,lens_depth_m,ocean_depth_m,layer_count,ocean_echo_db,false_echo_db,false_depth_m,false_label,false_minus_ocean_db,ocean_margin_db,false_margin_db,inferred_depth_if_strongest_m,inferred_depth_error_m,classification
-58.5,mixed_dirty_thin_layers,HF_9MHz,9.0,deep sounding,134.3858310571132,0.40549464520931483,952.7851094276066,0.0024724559900891306,5605.728230978824,14562.907070815563,0,-35.33780933706743,-999.0,,none,-963.6621906629325,9.662190662932566,-954.0,14562.907070815563,0.0,clear ocean boundary
-58.5,mixed_dirty_thin_layers,VHF_60MHz,60.0,shallow/high-resolution sounding,134.3858310571132,0.40549464520931483,952.7851094276066,0.0024724559900891306,5605.728230978824,14562.907070815563,0,-69.895345288479,-999.0,,none,-929.104654711521,-24.895345288479007,-954.0,14562.907070815563,0.0,weak/no deep detection
-58.5,briny_lens_masking,HF_9MHz,9.0,deep sounding,134.3858310571132,0.40549464520931483,952.7851094276066,0.0024724559900891306,5605.728230978824,14562.907070815563,0,-35.33780933706743,-999.0,,none,-963.6621906629325,9.662190662932566,-954.0,14562.907070815563,0.0,clear ocean boundary
-58.5,briny_lens_masking,VHF_60MHz,60.0,shallow/high-resolution sounding,134.3858310571132,0.40549464520931483,952.7851094276066,0.0024724559900891306,5605.728230978824,14562.907070815563,0,-69.895345288479,-999.0,,none,-929.104654711521,-24.895345288479007,-954.0,14562.907070815563,0.0,weak/no deep detection
-58.5,non_salt_impurity_mix,HF_9MHz,9.0,deep sounding,134.3858310571132,0.40549464520931483,952.7851094276066,0.0024724559900891306,5605.728230978824,14562.907070815563,3,-40.078572569159505,-32.50604593753322,3120.8786904079934,base radiolytic/acid-rich dirty layer; top radiolytic/acid-rich dirty layer,7.572526631626282,4.921427430840495,12.493954062466777,3120.8786904079934,-11442.02838040757,clear ocean boundary
-58.5,non_salt_impurity_mix,VHF_60MHz,60.0,shallow/high-resolution sounding,134.3858310571132,0.40549464520931483,952.7851094276066,0.0024724559900891306,5605.728230978824,14562.907070815563,3,-82.13594331928236,-46.6351948709011,3120.8786904079934,top radiolytic/acid-rich dirty layer,35.50074844838126,-37.13594331928236,-1.6351948709011026,3120.8786904079934,-11442.02838040757,weak/no deep detection
-58.5,complex_dirty_ice,HF_9MHz,9.0,deep sounding,134.3858310571132,0.40549464520931483,952.7851094276066,0.0024724559900891306,5605.728230978824,14562.907070815563,5,-40.0813325691595,-32.50604593753322,3120.8786904079934,base radiolytic/acid-rich dirty layer; top radiolytic/acid-rich dirty layer,7.575286631626277,4.9186674308405,12.493954062466777,3120.8786904079934,-11442.02838040757,clear ocean boundary
-58.5,complex_dirty_ice,VHF_60MHz,60.0,shallow/high-resolution sounding,134.3858310571132,0.40549464520931483,952.7851094276066,0.0024724559900891306,5605.728230978824,14562.907070815563,5,-82.14306960863938,-46.6351948709011,3120.8786904079934,top radiolytic/acid-rich dirty layer,35.50787473773828,-37.14306960863938,-1.6351948709011026,3120.8786904079934,-11442.02838040757,weak/no deep detection
-58.0,clean_ice_control,HF_9MHz,9.0,deep sounding,120.06952906780961,0.2587278302284246,957.6515045223967,0.002934279637824933,5609.784099285287,14573.125618242737,0,-29.523886910911102,-999.0,,none,-969.4761130890889,15.476113089088898,-954.0,14573.125618242737,0.0,clear ocean boundary
-58.0,clean_ice_control,VHF_60MHz,60.0,shallow/high-resolution sounding,120.06952906780961,0.2587278302284246,957.6515045223967,0.002934279637824933,5609.784099285287,14573.125618242737,0,-54.88386213338214,-999.0,,none,-944.1161378666179,-9.883862133382138,-954.0,14573.125618242737,0.0,weak/no deep detection
-58.0,salt_reference,HF_9MHz,9.0,deep sounding,120.06952906780961,0.2587278302284246,957.6515045223967,0.002934279637824933,5609.784099285287,14573.125618242737,2,-32.44175203455965,-41.90785193579221,7286.562809121368,base 1 m hydrated salt layer; top 1 m hydrated salt layer,-9.46609990123256,12.558247965440351,3.092148064207791,14573.125618242737,0.0,clear ocean boundary
-58.0,salt_reference,VHF_60MHz,60.0,shallow/high-resolution sounding,120.06952906780961,0.2587278302284246,957.6515045223967,0.002934279637824933,5609.784099285287,14573.125618242737,2,-62.417757486962316,-49.28341518164317,7286.562809121368,base 1 m hydrated salt layer; top 1 m hydrated salt layer,13.134342305319144,-17.417757486962316,-4.283415181643171,7286.562809121368,-7286.562809121368,weak/no deep detection
-58.0,mixed_dirty_thin_layers,HF_9MHz,9.0,deep sounding,120.06952906780961,0.2587278302284246,957.6515045223967,0.002934279637824933,5609.784099285287,14573.125618242737,0,-35.3531371582082,-999.0,,none,-963.6468628417917,9.646862841791801,-954.0,14573.125618242737,0.0,clear ocean boundary
-58.0,mixed_dirty_thin_layers,VHF_60MHz,60.0,shallow/high-resolution sounding,120.06952906780961,0.2587278302284246,957.6515045223967,0.002934279637824933,5609.784099285287,14573.125618242737,0,-69.93492155248687,-999.0,,none,-929.0650784475131,-24.93492155248687,-954.0,14573.125618242737,0.0,weak/no deep detection
-58.0,briny_lens_masking,HF_9MHz,9.0,deep sounding,120.06952906780961,0.2587278302284246,957.6515045223967,0.002934279637824933,5609.784099285287,14573.125618242737,0,-35.3531371582082,-999.0,,none,-963.6468628417917,9.646862841791801,-954.0,14573.125618242737,0.0,clear ocean boundary
-58.0,briny_lens_masking,VHF_60MHz,60.0,shallow/high-resolution sounding,120.06952906780961,0.2587278302284246,957.6515045223967,0.002934279637824933,5609.784099285287,14573.125618242737,0,-69.93492155248687,-999.0,,none,-929.0650784475131,-24.93492155248687,-954.0,14573.125618242737,0.0,weak/no deep detection
-58.0,non_salt_impurity_mix,HF_9MHz,9.0,deep sounding,120.06952906780961,0.2587278302284246,957.6515045223967,0.002934279637824933,5609.784099285287,14573.125618242737,3,-40.142171025156586,-32.37363057661863,3113.3793923034455,base radiolytic/acid-rich dirty layer; top radiolytic/acid-rich dirty layer,7.768540448537955,4.8578289748434145,12.62636942338137,3113.3793923034455,-11459.746225939292,clear ocean boundary
